Feature,Type
0.261,Numerical
0.262,Numerical
0.263,Numerical
0.264,Numerical
0.265,Numerical
0.266,Numerical
0.267,Numerical
0.268,Numerical
0.269,Numerical
0.270,Numerical
0.271,Numerical
0.272,Numerical
0.273,Numerical
0.274,Numerical
0.275,Numerical
0.276,Numerical
83,Numerical
253,Numerical
209,Numerical
18,Numerical
0.277,Numerical
0.278,Numerical
0.279,Numerical
0.280,Numerical
0.281,Numerical
0.282,Numerical
0.283,Numerical
0.284,Numerical
0.285,Numerical
0.286,Numerical
0.287,Numerical
0.288,Numerical
0.289,Numerical
0.290,Numerical
0.291,Numerical
0.292,Numerical
0.293,Numerical
0.294,Numerical
0.295,Numerical
0.296,Numerical
0.297,Numerical
0.298,Numerical
0.299,Numerical
22,Numerical
233,Numerical
255,Numerical
83.1,Numerical
0.300,Numerical
0.301,Numerical
0.302,Numerical
0.303,Numerical
0.304,Numerical
0.305,Numerical
0.306,Numerical
0.307,Numerical
0.308,Numerical
0.309,Numerical
0.310,Numerical
0.311,Numerical
0.312,Numerical
0.313,Numerical
0.314,Numerical
0.315,Numerical
0.316,Numerical
0.317,Numerical
0.318,Numerical
0.319,Numerical
0.320,Numerical
0.321,Numerical
0.322,Numerical
0.323,Numerical
129,Numerical
254.11,Numerical
238,Numerical
44,Numerical
0.324,Numerical
0.325,Numerical
0.326,Numerical
0.327,Numerical
0.328,Numerical
0.329,Numerical
0.330,Numerical
0.331,Numerical
0.332,Numerical
0.333,Numerical
0.334,Numerical
0.335,Numerical
0.336,Numerical
0.337,Numerical
0.338,Numerical
0.339,Numerical
0.340,Numerical
0.341,Numerical
0.342,Numerical
0.343,Numerical
0.344,Numerical
0.345,Numerical
0.346,Numerical
59.1,Numerical
249,Numerical
254.12,Numerical
62,Numerical
0.347,Numerical
0.348,Numerical
0.349,Numerical
0.350,Numerical
0.351,Numerical
0.352,Numerical
0.353,Numerical
0.354,Numerical
0.355,Numerical
0.356,Numerical
0.357,Numerical
0.358,Numerical
0.359,Numerical
0.360,Numerical
0.361,Numerical
0.362,Numerical
0.363,Numerical
0.364,Numerical
0.365,Numerical
0.366,Numerical
0.367,Numerical
0.368,Numerical
0.369,Numerical
0.370,Numerical
133,Numerical
254.13,Numerical
187,Numerical
5,Numerical
0.371,Numerical
0.372,Numerical
0.373,Numerical
0.374,Numerical
0.375,Numerical
0.376,Numerical
0.377,Numerical
0.378,Numerical
0.379,Numerical
0.380,Numerical
0.381,Numerical
0.382,Numerical
0.383,Numerical
0.384,Numerical
0.385,Numerical
0.386,Numerical
0.387,Numerical
0.388,Numerical
0.389,Numerical
0.390,Numerical
0.391,Numerical
0.392,Numerical
0.393,Numerical
9,Numerical
205,Numerical
248,Numerical
58,Numerical
0.394,Numerical
0.395,Numerical
0.396,Numerical
0.397,Numerical
0.398,Numerical
0.399,Numerical
0.400,Numerical
0.401,Numerical
0.402,Numerical
0.403,Numerical
0.404,Numerical
0.405,Numerical
0.406,Numerical
0.407,Numerical
0.408,Numerical
0.409,Numerical
0.410,Numerical
0.411,Numerical
0.412,Numerical
0.413,Numerical
0.414,Numerical
0.415,Numerical
0.416,Numerical
0.417,Numerical
126,Numerical
254.14,Numerical
182,Numerical
0.418,Numerical
0.419,Numerical
0.420,Numerical
0.421,Numerical
0.422,Numerical
0.423,Numerical
0.424,Numerical
0.425,Numerical
0.426,Numerical
0.427,Numerical
0.428,Numerical
0.429,Numerical
0.430,Numerical
0.431,Numerical
0.432,Numerical
0.433,Numerical
0.434,Numerical
0.435,Numerical
0.436,Numerical
0.437,Numerical
0.438,Numerical
0.439,Numerical
0.440,Numerical
0.441,Numerical
75,Numerical
251,Numerical
240,Numerical
57,Numerical
0.442,Numerical
0.443,Numerical
0.444,Numerical
0.445,Numerical
0.446,Numerical
0.447,Numerical
0.448,Numerical
0.449,Numerical
0.450,Numerical
0.451,Numerical
0.452,Numerical
0.453,Numerical
0.454,Numerical
0.455,Numerical
0.456,Numerical
0.457,Numerical
0.458,Numerical
0.459,Numerical
0.460,Numerical
0.461,Numerical
0.462,Numerical
0.463,Numerical
0.464,Numerical
19,Numerical
221,Numerical
254.15,Numerical
166,Numerical
0.465,Numerical
0.466,Numerical
0.467,Numerical
0.468,Numerical
0.469,Numerical
0.470,Numerical
0.471,Numerical
0.472,Numerical
0.473,Numerical
0.474,Numerical
0.475,Numerical
0.476,Numerical
0.477,Numerical
0.478,Numerical
0.479,Numerical
0.480,Numerical
0.481,Numerical
0.482,Numerical
0.483,Numerical
0.484,Numerical
0.485,Numerical
0.486,Numerical
0.487,Numerical
3,Numerical
203,Numerical
254.16,Numerical
219,Numerical
35,Numerical
0.488,Numerical
0.489,Numerical
0.490,Numerical
0.491,Numerical
0.492,Numerical
0.493,Numerical
0.494,Numerical
0.495,Numerical
0.496,Numerical
0.497,Numerical
0.498,Numerical
0.499,Numerical
0.500,Numerical
0.501,Numerical
0.502,Numerical
0.503,Numerical
0.504,Numerical
0.505,Numerical
0.506,Numerical
0.507,Numerical
0.508,Numerical
0.509,Numerical
0.510,Numerical
38,Numerical
254.17,Numerical
254.18,Numerical
77,Numerical
0.511,Numerical
0.512,Numerical
0.513,Numerical
0.514,Numerical
0.515,Numerical
0.516,Numerical
0.517,Numerical
0.518,Numerical
0.519,Numerical
0.520,Numerical
0.521,Numerical
0.522,Numerical
0.523,Numerical
0.524,Numerical
0.525,Numerical
0.526,Numerical
0.527,Numerical
0.528,Numerical
0.529,Numerical
0.530,Numerical
0.531,Numerical
0.532,Numerical
0.533,Numerical
31,Numerical
224,Numerical
254.19,Numerical
115,Numerical
1,Numerical
0.534,Numerical
0.535,Numerical
0.536,Numerical
0.537,Numerical
0.538,Numerical
0.539,Numerical
0.540,Numerical
0.541,Numerical
0.542,Numerical
0.543,Numerical
0.544,Numerical
0.545,Numerical
0.546,Numerical
0.547,Numerical
0.548,Numerical
0.549,Numerical
0.550,Numerical
0.551,Numerical
0.552,Numerical
0.553,Numerical
0.554,Numerical
0.555,Numerical
0.556,Numerical
133.1,Numerical
254.20,Numerical
254.21,Numerical
52.1,Numerical
0.557,Numerical
0.558,Numerical
0.559,Numerical
0.560,Numerical
0.561,Numerical
0.562,Numerical
0.563,Numerical
0.564,Numerical
0.565,Numerical
0.566,Numerical
0.567,Numerical
0.568,Numerical
0.569,Numerical
0.570,Numerical
0.571,Numerical
0.572,Numerical
0.573,Numerical
0.574,Numerical
0.575,Numerical
0.576,Numerical
0.577,Numerical
0.578,Numerical
0.579,Numerical
61,Numerical
242,Numerical
254.22,Numerical
254.23,Numerical
52.2,Numerical
0.580,Numerical
0.581,Numerical
0.582,Numerical
0.583,Numerical
0.584,Numerical
0.585,Numerical
0.586,Numerical
0.587,Numerical
0.588,Numerical
0.589,Numerical
0.590,Numerical
0.591,Numerical
0.592,Numerical
0.593,Numerical
0.594,Numerical
0.595,Numerical
0.596,Numerical
0.597,Numerical
0.598,Numerical
0.599,Numerical
0.600,Numerical
0.601,Numerical
0.602,Numerical
121,Numerical
254.24,Numerical
254.25,Numerical
219.1,Numerical
40,Numerical
0.603,Numerical
0.604,Numerical
0.605,Numerical
0.606,Numerical
0.607,Numerical
0.608,Numerical
0.609,Numerical
0.610,Numerical
0.611,Numerical
0.612,Numerical
0.613,Numerical
0.614,Numerical
0.615,Numerical
0.616,Numerical
0.617,Numerical
0.618,Numerical
0.619,Numerical
0.620,Numerical
0.621,Numerical
0.622,Numerical
0.623,Numerical
0.624,Numerical
0.625,Numerical
121.1,Numerical
254.26,Numerical
207,Numerical
18.1,Numerical
0.626,Numerical
0.627,Numerical
0.628,Numerical
0.629,Numerical
0.630,Numerical
0.631,Numerical
0.632,Numerical
0.633,Numerical
0.634,Numerical
0.635,Numerical
0.636,Numerical
0.637,Numerical
0.638,Numerical
0.639,Numerical
0.640,Numerical
0.641,Numerical
0.642,Numerical
0.643,Numerical
0.644,Numerical
0.645,Numerical
0.646,Numerical
0.647,Numerical
0.648,Numerical
0.649,Numerical
0.650,Numerical
0.651,Numerical
0.652,Numerical
0.653,Numerical
0.654,Numerical
0.655,Numerical
0.656,Numerical
0.657,Numerical
0.658,Numerical
0.659,Numerical
0.660,Numerical
0.661,Numerical
0.662,Numerical
0.663,Numerical
0.664,Numerical
0.665,Numerical
0.666,Numerical
0.667,Numerical
